city,city_ascii,state_id,state_name,county_fips,county_name
Abbeville,Abbeville,SC,South Carolina,45001,Abbeville
Calhoun Falls,Calhoun Falls,SC,South Carolina,45001,Abbeville
Due West,Due West,SC,South Carolina,45001,Abbeville
Lake Secession,Lake Secession,SC,South Carolina,45001,Abbeville
Donalds,Donalds,SC,South Carolina,45001,Abbeville
Lowndesville,Lowndesville,SC,South Carolina,45001,Abbeville
Antreville,Antreville,SC,South Carolina,45001,Abbeville
Crowley,Crowley,LA,Louisiana,22001,Acadia
Rayne,Rayne,LA,Louisiana,22001,Acadia
Church Point,Church Point,LA,Louisiana,22001,Acadia
Iota,Iota,LA,Louisiana,22001,Acadia
Estherwood,Estherwood,LA,Louisiana,22001,Acadia
Morse,Morse,LA,Louisiana,22001,Acadia
Mermentau,Mermentau,LA,Louisiana,22001,Acadia
Egan,Egan,LA,Louisiana,22001,Acadia
Branch,Branch,LA,Louisiana,22001,Acadia
Chincoteague,Chincoteague,VA,Virginia,51001,Accomack
Onancock,Onancock,VA,Virginia,51001,Accomack
Captains Cove,Captains Cove,VA,Virginia,51001,Accomack
Wattsville,Wattsville,VA,Virginia,51001,Accomack
Pastoria,Pastoria,VA,Virginia,51001,Accomack
Boston,Boston,VA,Virginia,51001,Accomack
Parksley,Parksley,VA,Virginia,51001,Accomack
Atlantic,Atlantic,VA,Virginia,51001,Accomack
Tangier,Tangier,VA,Virginia,51001,Accomack
Horntown,Horntown,VA,Virginia,51001,Accomack
Metompkin,Metompkin,VA,Virginia,51001,Accomack
Onley,Onley,VA,Virginia,51001,Accomack
Mappsville,Mappsville,VA,Virginia,51001,Accomack
Accomac,Accomac,VA,Virginia,51001,Accomack
Nelsonia,Nelsonia,VA,Virginia,51001,Accomack
Tasley,Tasley,VA,Virginia,51001,Accomack
Savageville,Savageville,VA,Virginia,51001,Accomack
Melfa,Melfa,VA,Virginia,51001,Accomack
Bloxom,Bloxom,VA,Virginia,51001,Accomack
Quinby,Quinby,VA,Virginia,51001,Accomack
Chase Crossing,Chase Crossing,VA,Virginia,51001,Accomack
Makemie Park,Makemie Park,VA,Virginia,51001,Accomack
Bayside,Bayside,VA,Virginia,51001,Accomack
Temperanceville,Temperanceville,VA,Virginia,51001,Accomack
Saxis,Saxis,VA,Virginia,51001,Accomack
Pungoteague,Pungoteague,VA,Virginia,51001,Accomack
Painter,Painter,VA,Virginia,51001,Accomack
Wachapreague,Wachapreague,VA,Virginia,51001,Accomack
Harborton,Harborton,VA,Virginia,51001,Accomack
Hallwood,Hallwood,VA,Virginia,51001,Accomack
Greenbush,Greenbush,VA,Virginia,51001,Accomack
Whitesville,Whitesville,VA,Virginia,51001,Accomack
Gargatha,Gargatha,VA,Virginia,51001,Accomack
Keller,Keller,VA,Virginia,51001,Accomack
Cats Bridge,Cats Bridge,VA,Virginia,51001,Accomack
Modest Town,Modest Town,VA,Virginia,51001,Accomack
Bobtown,Bobtown,VA,Virginia,51001,Accomack
Southside Chesconessex,Southside Chesconessex,VA,Virginia,51001,Accomack
Oak Hall,Oak Hall,VA,Virginia,51001,Accomack
Sanford,Sanford,VA,Virginia,51001,Accomack
New Church,New Church,VA,Virginia,51001,Accomack
Lee Mont,Lee Mont,VA,Virginia,51001,Accomack
Mappsburg,Mappsburg,VA,Virginia,51001,Accomack
Savage Town,Savage Town,VA,Virginia,51001,Accomack
Deep Creek,Deep Creek,VA,Virginia,51001,Accomack
Greenbackville,Greenbackville,VA,Virginia,51001,Accomack
Boise,Boise,ID,Idaho,16001,Ada
Meridian,Meridian,ID,Idaho,16001,Ada
Eagle,Eagle,ID,Idaho,16001,Ada
